Sub-Category,Total_Sales,Growth_Rate_%,Volatility,Avg_Order_Value,Cluster,PCA1,PCA2,Cluster_Label
Accessories,164186.7,145.05596052510444,2579.99480907113,233.88418803418804,0,0.2138830331083773,0.13247729041134326,"High Volume, Stable Demand"
Appliances,104618.403,165.24291235604653,1821.6215390281989,235.62703378378376,2,-0.28169243114121784,0.7083396499553478,"Low Volume, Low Volatility"
Art,26705.41,49.649531482141526,330.4883427284576,37.09084722222222,2,-1.708421203796154,0.4945956765670734,"Low Volume, Low Volatility"
Binders,200028.785,65.77863849255769,3848.223647875491,154.9409643687064,0,0.5363169830457235,-0.8002993200401468,"High Volume, Stable Demand"
Bookcases,113813.1987,49.846597821187686,2229.359866723265,512.6720662162162,2,-0.16825993176296497,-0.014546239076255386,"Low Volume, Low Volatility"
Chairs,322822.73099999997,20.954677464656378,4407.232959811409,570.3581819787986,0,1.5782234076140171,-1.6643440648815115,"High Volume, Stable Demand"
Copiers,146248.094,479.7295097726388,5104.267436299614,2215.8802121212125,1,3.853284963184083,3.1010912967103894,Growing Demand (Niche)
Envelopes,16128.046,-12.121344538689423,234.2657162719798,66.37055967078189,2,-1.9452937306325364,0.17797870488808598,"Low Volume, Low Volatility"
Fasteners,3001.96,30.468363778403006,49.09426438022532,14.16018867924528,2,-1.999292782559531,0.530689998492825,"Low Volume, Low Volatility"
Furnishings,89212.018,106.82496850843725,1360.0178672616057,104.34154152046784,2,-0.8126595536425444,0.4082831237641846,"Low Volume, Low Volatility"
Labels,12347.726,36.073372883263524,223.47121839221344,36.31684117647058,2,-1.8552851240206603,0.50192222894639,"Low Volume, Low Volatility"
Machines,189238.631,-29.793120087164553,5442.477299531548,1689.6306339285713,3,2.210216278935625,-0.7976860481955294,Declining Demand
Paper,76828.304,91.90197088871184,1024.8249818349852,66.0604505588994,2,-1.0709525725475517,0.4064322508950727,"Low Volume, Low Volatility"
Phones,327782.448,35.55760708226129,4052.718220520821,408.1973200498132,0,1.3657605207328474,-1.6326161444631175,"High Volume, Stable Demand"
Storage,219343.392,38.366108084378084,2822.0843101166624,287.09868062827223,0,0.30317183338875503,-0.8894242161511283,"High Volume, Stable Demand"
Supplies,46420.308,11.276038287845253,1975.222902711991,256.4657900552486,2,-0.9307944082429364,0.024305877098047116,"Low Volume, Low Volatility"
Tables,202810.628,33.078016081528446,3224.082504460717,671.5583708609272,0,0.7117947183366691,-0.6872000649210704,"High Volume, Stable Demand"
